X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.09052,468.42826,431.956674,156.520487,0.41618,0,0,87.483963,86.854198,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.809519,24.855233,19.346825,17.491801,
0.09114,462.177143,434.423231,156.422022,0,0,0,87.352502,86.73612,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.799506,24.829894,19.362858,17.485495,
0.09176,463.65767,434.094356,156.586131,0.383476,0,0,87.431379,86.749239,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.811322,24.838182,19.360453,17.519588,
0.09238,463.164161,429.32568,156.323557,0.056438,1.011537,0,87.339356,86.827959,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.816729,24.87076,19.360654,17.53486,
0.0992,466.947732,429.490117,156.3892,0,1.07718,0,87.365648,86.526202,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.796301,24.85609,19.385304,17.498501,
0.09982,467.605745,432.121111,156.815883,0.481588,1.175645,0,87.365648,86.6574,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.793798,24.833324,19.352236,17.521361,
0.10044,465.467204,433.601045,156.979992,0,0,0,87.207894,86.421243,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.819533,24.833705,19.368169,17.485495,
0.10106,462.506149,431.956674,156.454844,0.514292,0,0,87.365648,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.809119,24.830466,19.368269,17.487761,
0.10168,462.506149,431.463362,156.848705,0,0,0,87.378794,86.329404,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.797002,24.844945,19.371476,17.492195,
0.1023,467.605745,438.205285,156.651774,0.187253,0,0,87.365648,86.486842,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.819432,24.832371,19.372979,17.491801,
0.10292,467.441241,428.339057,156.487666,0,0,0,87.339356,86.421243,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.816128,24.821702,19.350333,17.468054,
0.10354,466.618726,433.929919,156.815883,0.285365,0,0,87.418232,86.486842,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.78759,24.846374,19.362858,17.499092,
0.10416,464.480186,437.218662,156.323557,0,0,0,87.326209,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.794199,24.830371,19.350032,17.486283,
0.10478,461.848136,430.970051,156.553309,0.121845,0,0,87.378794,86.69676,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.796702,24.849899,19.369572,17.461255,
0.1116,465.302701,431.792236,156.323557,0.219957,3.57162,0,87.22104,86.801719,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.804713,24.851423,19.377388,17.480765,
0.11222,464.973695,431.627799,156.750239,0.219957,3.932657,0,87.418232,86.814839,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.807116,24.825036,19.366666,17.488746,
0.11284,464.315683,437.218662,156.815883,0.121845,3.243404,0,87.431379,86.723,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.813224,24.845136,19.366566,17.514956,
0.11346,463.493167,432.614422,156.3892,0,3.473155,0,87.352502,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.815728,24.841897,19.366365,17.50264,
0.11408,462.835155,431.792236,156.979992,0.41618,2.3244,0,87.405086,86.591801,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.805714,24.834276,19.351635,17.491407,
0.1147,465.467204,436.396476,156.422022,0.318069,2.160292,0,87.444525,86.6574,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.803211,24.84666,19.36857,17.508157,
0.11532,467.770248,434.258793,156.3892,0.481588,0.978716,0,87.207894,86.526202,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.823137,24.849136,19.3834,17.516139,
0.11594,466.618726,429.654554,157.1441,0,1.27411,0,87.431379,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.838859,24.863711,19.391216,17.514562,
0.11656,464.973695,437.711973,156.520487,0.579699,0.190998,0,87.313063,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.804813,24.843993,19.357648,17.507763,
0.11718,463.65767,434.094356,156.225092,0,0,0,87.234186,86.499962,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.80291,24.870665,19.381296,17.509734,
0.124,465.631708,433.929919,156.290735,0.546995,0,0,87.431379,86.788599,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.811221,24.862663,19.376887,17.4784,
0.12462,466.947732,429.654554,157.242565,0.056438,0,0,87.418232,86.788599,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.782383,24.846755,19.377188,17.490126,
0.12524,467.934751,435.57429,156.651774,0.187253,0.092533,0,87.405086,86.814839,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.815427,24.870951,19.376386,17.5255,
0.12586,466.125217,434.258793,156.684596,0.089142,0.092533,0,87.299917,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.794199,24.842183,19.392719,17.47574,
